,S1,C1,E1,P1,C2,E2,S2,C3,P2,E3
4034,-4.1453370443829363e-13,-8.636119362303073e-13,0.25000000000086486,-4.145334913568128e-12,5.693924485726864e-07,0.2500000000008649,1.9999967780953714,-6.908880336983145e-11,2.652581260523521e-06,0.24999943060755075
4035,-4.1453369864595867e-13,-8.636119237983767e-13,0.25000000000086486,-4.1453348703639395e-12,5.65380417060802e-07,0.2500000000008649,1.9999968007980338,-6.908880344049802e-11,2.6338906295655055e-06,0.24999943461958227
4036,-4.145336928939129e-13,-8.636119114536554e-13,0.25000000000086486,-4.145334827464699e-12,5.61396651433502e-07,0.2500000000008649,1.999996823340749,-6.908880351067285e-11,2.6153316799566547e-06,0.2499994386033479
4037,-4.145336871817585e-13,-8.636118991952704e-13,0.25000000000086486,-4.14533478488263e-12,5.574409525291168e-07,0.2500000000008649,1.999996845724644,-6.908880358034479e-11,2.5969034838603162e-06,0.2499994425590468
4038,-4.145336815090976e-13,-8.636118870223355e-13,0.25000000000086486,-4.1453347426322174e-12,5.535131225809942e-07,0.2500000000008649,1.9999968679508378,-6.90888036495002e-11,2.57860511993896e-06,0.24999944648687675
4039,-4.14533675875533e-13,-8.636118749339511e-13,0.25000000000086486,-4.14533470073034e-12,5.496129652064086e-07,0.2500000000008649,1.999996890020442,-6.908880371812288e-11,2.5604356733025028e-06,0.24999945038703414
4040,-4.1453367028066824e-13,-8.636118629292041e-13,0.25000000000086486,-4.14533465919637e-12,5.457402853954418e-07,0.2500000000008649,1.9999969119345595,-6.908880378619384e-11,2.5423942354565067e-06,0.24999945425971395
4041,-4.145336647241077e-13,-8.636118510071675e-13,0.25000000000086486,-4.1453346180523056e-12,5.418948894998918e-07,0.2500000000008649,1.9999969336942867,-6.908880385369133e-11,2.524479904250507e-06,0.24999945810510985
4042,-4.145336592063338e-13,-8.636118391687006e-13,0.25000000000086486,-4.145334577122416e-12,5.380765857698851e-07,0.2500000000008649,1.9999969553007082,-6.908880392079539e-11,2.5066917863774562e-06,0.24999946192341355
4043,-4.1453365372702087e-13,-8.636118274129853e-13,0.25000000000086486,-4.145334536419086e-12,5.342851832888731e-07,0.2500000000008649,1.9999969767549046,-6.908880398749366e-11,2.4890289924130873e-06,0.24999946571481604
