,S1,C1,E1,P1,C2,E2,S2,C3,P2,E3
2704,-2.4840858688757704e-11,-5.857219386427747e-11,0.25000000005857176,-2.874735179248056e-12,0.0018693266207409091,0.25000000000038214,0.9893531349332075,-1.5132098159934547e-11,0.008777538461185844,0.24813067337925923
2705,-2.4159957687987065e-11,-5.695850589720445e-11,0.2500000000569581,-3.0906931354129702e-12,0.0018563257545640146,0.2500000000004334,0.9894276625903825,-1.715951246260393e-11,0.008716011672215212,0.24814367424543612
2706,-2.34985382850672e-11,-5.5390988986782304e-11,0.2500000000553906,-3.3004400518548908e-12,0.0018434141410499318,0.2500000000004831,0.9895016718962965,-1.912895800494927e-11,0.00865491398178477,0.2481565858589502
2707,-2.285604253462307e-11,-5.3868320787243386e-11,0.2500000000538679,-3.5041545349803896e-12,0.0018305911836046156,0.2500000000005314,0.9895751664098478,-2.10420941143493e-11,0.008594242427591896,0.24816940881639551
2708,-2.2231929058356137e-11,-5.238921821850069e-11,0.25000000005238876,-3.702009861039414e-12,0.0018178562894012892,0.2500000000005783,0.9896481496661088,-2.2900530879872032e-11,0.008533994067392634,0.24818214371059885
2709,-2.1625672150474115e-11,-5.095243534554972e-11,0.250000000050952,-3.8941742670667626e-12,0.0018052088693579005,0.2500000000006239,0.9897206251764996,-2.4705831807326645e-11,0.008474165978850553,0.24819479113064224
2710,-2.1036760416999938e-11,-4.955676015369081e-11,0.2500000000495563,-4.080811392095395e-12,0.0017926483381124696,0.2500000000006682,0.9897925964289883,-2.6459517859981446e-11,0.008414755259360954,0.24820735166188768
2711,-2.046469764754931e-11,-4.82010166139526e-11,0.25000000004820055,-4.26207999506799e-12,0.00178017411400843,0.25000000000071115,0.989864066888166,-2.816306486867242e-11,0.0083557590259909,0.2482198258859917
2712,-1.9909001987758455e-11,-4.688406272182211e-11,0.2500000000468836,-4.438134222620756e-12,0.0017677856190723364,0.2500000000007529,0.9899350399954174,-2.9817905989766554e-11,0.00829717441533038,0.2482322143809278
2713,-1.9369204687735903e-11,-4.560478753175489e-11,0.2500000000456043,-4.609124012571388e-12,0.0017554822789894956,0.2500000000007935,0.9900055191691188,-3.1425435423903746e-11,0.008238998583319303,0.24824451772101064
2714,-1.8844850936041967e-11,-4.436211313300211e-11,0.2500000000443616,-4.7751948231429726e-12,0.0017432635230896043,0.2500000000008329,0.9900755078047093,-3.298700594005737e-11,0.008181228705190263,0.24825673647691054
2715,-1.833549907801444e-11,-4.315499279713634e-11,0.2500000000431545,-4.9364878859635145e-12,0.0017311287843245107,0.25000000000087114,0.9901450092748608,-3.4503931196933523e-11,0.008123861975320792,0.24826887121567565
2716,-1.784071945975852e-11,-4.198240823806335e-11,0.2500000000419819,-5.093140583143088e-12,0.0017190774992440283,0.2500000000009083,0.990214026929672,-3.597748917269364e-11,0.008066895607063654,0.24828092250075612
2717,-1.7360095215121678e-11,-4.084337147775409e-11,0.2500000000408429,-5.245286187140631e-12,0.0017071091079820307,0.2500000000009444,0.9902825640967379,-3.740891983423143e-11,0.008010326832691225,0.24829289089201811
2718,-1.689322153040668e-11,-3.973692310337782e-11,0.25000000003973644,-5.393054099858824e-12,0.0016952230542343295,0.25000000000097944,0.9903506240813177,-3.8799427319447714e-11,0.007954152903249604,0.2483047769457658
